Date,Open,High,Low,Close,Adj Close,Volume
08-04-16,108.910004,109.769997,108.169998,52.66,103.624672,23581700
11-04-16,108.970001,110.610001,108.830002,58.44,103.967987,29407500
12-04-16,109.339996,110.5,108.660004,116.22,105.322182,27232300
13-04-16,110.800003,112.339996,110.800003,90.55,106.848053,33257300
14-04-16,111.620003,112.389999,111.330002,120.66,106.905258,25473900
15-04-16,112.110001,112.300003,109.730003,62.88,104.759529,46939000
18-04-16,108.889999,108.949997,106.940002,25.23,102.499367,60834000
19-04-16,107.879997,108,106.230003,60.76,101.955765,32384900
20-04-16,106.639999,108.089996,106.059998,28.45,102.165581,30611000
21-04-16,106.93,106.93,105.519997,78.45,101.059334,31552500
22-04-16,105.010002,106.480003,104.620003,96.44,100.782768,33683100
25-04-16,105,105.650002,104.510002,40.22,100.210571,28031600
26-04-16,103.910004,105.300003,103.910004,27.22,99.514389,56016200
27-04-16,96,98.709999,95.68,40.66,93.287018,114602100
28-04-16,97.610001,97.879997,94.25,88.12,90.435562,82242700
29-04-16,93.989998,94.720001,92.510002,95.44,89.396065,68531500
02-05-16,93.970001,94.080002,92.400002,88.67,89.300697,48160100
03-05-16,94.199997,95.739998,93.68,80.22,90.769348,56831300
04-05-16,95.199997,95.900002,93.82,110.22,89.825218,41025500
05-05-16,94,94.07,92.68,50.22,89.460617,35890500
06-05-16,93.370003,93.449997,91.849998,54.33,88.961693,43458200
09-05-16,93,93.769997,92.589996,24.88,89.028854,32936400
10-05-16,93.330002,93.57,92.110001,52.55,89.633316,33686800
11-05-16,93.480003,93.57,92.459999,52.73,88.760208,28719100
12-05-16,92.720001,92.779999,89.470001,80.44,86.678162,76314700
13-05-16,90,91.669998,90,70.22,86.850861,44392800
16-05-16,92.389999,94.389999,91.650002,55.98,90.074677,61259800
17-05-16,94.550003,94.699997,93.010002,119.22,89.700478,46916900
18-05-16,94.160004,95.209999,93.889999,56.76,90.727135,42062400
19-05-16,94.639999,94.639999,93.57,94.199997,90.381699,30442100
20-05-16,94.639999,95.43,94.519997,95.220001,91.360359,32026000
23-05-16,95.870003,97.190002,95.669998,96.43,92.521317,38018600
24-05-16,97.220001,98.089996,96.839996,97.900002,93.93174,35140200
25-05-16,98.669998,99.739998,98.110001,99.620003,95.582016,38168800
26-05-16,99.68,100.730003,98.639999,100.410004,96.339989,56331200
27-05-16,99.440002,100.470001,99.25,100.349998,96.282417,36229500
31-05-16,99.599998,100.400002,98.82,99.860001,95.812286,42307200
01-06-16,99.019997,99.540001,98.330002,98.459999,94.469025,29173300
02-06-16,97.599998,97.839996,96.629997,97.720001,93.759041,40191600
03-06-16,97.790001,98.269997,97.449997,97.919998,93.95092,28062900
06-06-16,97.989998,101.889999,97.550003,98.629997,94.632133,23292500
07-06-16,99.25,99.870003,98.959999,99.029999,95.01593,22409500
08-06-16,99.019997,99.559998,98.68,98.940002,94.929588,20848100
09-06-16,98.5,99.989998,98.459999,99.650002,95.610802,26601400
10-06-16,98.529999,99.349998,98.480003,98.830002,94.824051,31712900
13-06-16,98.690002,99.120003,97.099998,97.339996,93.394432,38020500
14-06-16,97.32,98.480003,96.75,97.459999,93.50956,31931900
15-06-16,97.82,98.410004,97.029999,97.139999,93.202545,29445200
16-06-16,96.449997,97.75,96.07,97.550003,93.595924,31326800
17-06-16,96.620003,96.650002,95.300003,95.330002,91.465912,61008200
20-06-16,96,96.57,95.029999,95.099998,91.245224,34411900
21-06-16,94.940002,96.349998,94.68,95.910004,92.0224,35546400
22-06-16,96.25,96.889999,95.349998,95.550003,91.676987,29219100
23-06-16,95.940002,96.290001,95.25,96.099998,92.204697,32240200
24-06-16,92.910004,94.660004,92.650002,93.400002,89.614136,75311400
27-06-16,93,93.050003,91.5,92.040001,88.30925,45489600
28-06-16,92.900002,93.660004,92.139999,93.589996,89.796425,40444900
29-06-16,93.970001,94.550003,93.629997,94.400002,90.573608,36531000
30-06-16,94.440002,95.769997,94.300003,95.599998,91.72496,35836400
26026500,26026500,26026500,26026500,26026500,26026500,26026500
